code,name,industry,area,pe,outstanding,totals,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket
000886,海南高速,路桥,海南,110.11,96461.99,98882.82,310690.56,202641.91,13719.13,94393.02,0.95,0.016,2.56,2.73,19980123
000908,景峰医药,化学制药,湖南,65.16,44720.96,79979.47,397862.16,232263.59,43913.28,99127.18,1.24,0.05,2.73,4.82,19990203
002639,雪人股份,专用机械,福建,0.0,36232.35,60000.0,241947.66,103774.86,80582.35,74044.82,1.23,-0.03,2.61,4.12,20111205
002510,天汽模,汽车配件,天津,82.17,63748.23,82304.0,402469.72,260990.47,71695.2,64613.48,0.79,0.024,2.27,3.48,20101125
600975,新五丰,农业综合,湖南,26.25,46872.01,65267.55,174050.61,98197.81,59769.95,60471.25,0.93,0.083,1.72,5.04,20040609
000791,甘肃电投,水力发电,甘肃,0.0,72212.4,97112.61,2102213.75,342788.53,1622139.5,340267.75,3.5,-0.22,5.08,2.57,19971014
002799,环球印务,广告包装,陕西,89.74,2500.0,10000.0,59688.3,26152.26,0.0,0.0,0.0,0.062,4.34,5.16,20160608
300515,三德科技,电器仪表,湖南,105.05,2500.0,10000.0,34506.59,24019.92,5107.28,5033.08,0.5,0.057,3.12,7.71,20160608
002703,浙江世宝,汽车配件,浙江,120.61,9718.59,31585.78,190704.52,118797.63,46067.01,66001.21,2.09,0.053,4.62,5.56,20121102
002352,鼎泰新材,钢加工,安徽,730.95,13311.74,23349.23,82966.65,54236.61,21420.85,54108.06,2.32,0.015,3.05,14.21,20100205
300464,星徽精密,机械基件,广东,152.05,2067.0,8421.5,67975.28,30604.15,24723.06,25492.01,3.03,0.08900000000000001,5.73,9.42,20150610
603737,三棵树,染料涂料,福建,0.0,2500.0,10000.0,98233.43,41335.64,30891.9,1126.58,0.11,-0.138,7.12,8.36,20160603
002180,艾派克,电脑设备,广东,58.52,18933.39,99601.15,311154.31,266370.5,25819.82,42686.21,0.43,0.12,1.92,14.58,20071113
002798,帝王洁具,家居用品,四川,0.0,2160.0,8637.74,44891.87,28450.01,12541.0,7755.87,0.9,-0.024,5.95,12.93,20160525
300512,中亚股份,专用机械,浙江,105.62,3375.0,13500.0,106108.11,76234.4,10713.5,6998.47,0.52,0.235,5.33,18.6,20160526
300513,恒泰实达,软件服务,北京,0.0,1906.0,7616.0,42739.73,40271.05,854.7,9256.82,1.22,-0.027999999999999997,5.34,12.02,20160530
300140,启源装备,电气设备,陕西,0.0,24154.16,24400.0,115306.75,64790.67,26656.3,37564.4,1.54,-0.018000000000000002,3.15,6.12,20101112
002256,彩虹精化,染料涂料,深圳,168.57,31326.78,47158.3,212386.02,53221.48,43491.71,8264.87,0.18,0.040999999999999995,1.92,14.52,20080625
002112,三变科技,电气设备,浙江,1458.95,18115.81,20160.0,144469.0,106018.67,21799.1,6915.07,0.34,0.004,2.41,10.46,20070208
300516,久之洋,电器仪表,湖北,132.58,3000.0,12000.0,64108.78,46595.8,8556.03,2812.53,0.23,0.174,4.63,19.96,20160602
002800,天顺股份,仓储物流,新疆,204.88,1868.0,7468.0,45230.05,32690.0,3049.65,6521.46,0.87,0.051,4.89,8.61,20160530
603131,上海沪工,专用机械,上海,71.64,2500.0,10000.0,45564.26,31017.55,0.0,0.0,0.0,0.109,4.62,6.74,20160607
600468,百利电气,电气设备,天津,185.94,45619.19,54074.23,256005.5,180561.22,28383.09,102062.46,1.89,0.019,3.17,4.37,20010615
600770,综艺股份,综合类,江苏,222.07,110460.0,130000.0,643623.75,202284.13,165615.77,220431.7,1.7,0.013999999999999999,2.59,4.77,19961120
600278,东方创业,商贸代理,上海,53.95,52224.17,52224.17,647139.94,432111.41,85432.8,87974.93,1.68,0.071,5.56,2.75,20000712
600241,时代万恒,商贸代理,辽宁,0.0,18020.0,22619.21,216760.67,127179.52,22312.82,37956.14,1.68,-0.059000000000000004,3.1,6.05,20001128
600639,浦东金桥,园区开发,上海,61.14,65664.88,112241.28,1739459.75,342253.41,69331.99,170896.13,1.52,0.08800000000000001,7.92,2.73,19930326
601127,小康股份,汽车配件,重庆,23.15,14250.0,89250.0,1401947.0,0.0,0.0,0.0,0.0,0.132,3.62,3.38,20160615
601611,中国核建,建筑施工,北京,85.79,52500.0,262500.0,5395929.5,0.0,0.0,0.0,0.0,0.034,2.91,4.06,20160606
002547,春兴精工,通信设备,江苏,68.06,68443.45,101197.82,346395.19,205413.69,101535.82,47225.01,0.47,0.04,1.87,5.83,20110218
300459,浙江金科,化工原料,浙江,202.15,13041.95,52708.69,87730.8,37857.2,23407.05,16226.87,0.31,0.037000000000000005,2.44,12.35,20150515
000839,中信国安,综合类,北京,84.41,156760.28,156793.05,1178496.13,665137.31,46378.06,251457.05,1.6,0.055999999999999994,4.17,4.5,19971031
000820,金城股份,造纸,辽宁,0.0,22087.72,28783.48,67099.71,22336.14,25203.82,47487.53,1.65,-0.07200000000000001,0.84,21.47,19980630
600130,波导股份,通信设备,浙江,158.21,76800.0,76800.0,153183.75,127165.32,9764.37,45592.21,0.59,0.013999999999999999,1.27,6.84,20000706
600758,红阳能源,供气供热,辽宁,154.64,11505.03,134087.94,1748879.63,697705.13,757283.81,339982.38,2.54,0.018000000000000002,3.74,2.9,19961029
002785,万里石,其他建材,福建,537.38,5000.0,20000.0,106954.52,82557.49,8493.48,17332.67,0.87,0.013000000000000001,3.16,8.96,20151223
